"filename", "language", "Python", "GLSL", "Ini", "HTML", "comment", "blank", "total"
"c:\Users\dunca\Desktop\embpy\.flake8", "Ini", 0, 0, 2, 0, 0, 0, 2
"c:\Users\dunca\Desktop\embpy\app_state.py", "Python", 19, 0, 0, 0, 0, 10, 29
"c:\Users\dunca\Desktop\embpy\build\main\xref-main.html", "HTML", 0, 0, 0, 34046, 0, 6001, 40047
"c:\Users\dunca\Desktop\embpy\camera.py", "Python", 72, 0, 0, 0, 1, 13, 86
"c:\Users\dunca\Desktop\embpy\component\component.py", "Python", 15, 0, 0, 0, 0, 8, 23
"c:\Users\dunca\Desktop\embpy\component\model.py", "Python", 53, 0, 0, 0, 2, 14, 69
"c:\Users\dunca\Desktop\embpy\component\transform.py", "Python", 43, 0, 0, 0, 1, 13, 57
"c:\Users\dunca\Desktop\embpy\config.py", "Python", 8, 0, 0, 0, 0, 2, 10
"c:\Users\dunca\Desktop\embpy\console.py", "Python", 18, 0, 0, 0, 0, 6, 24
"c:\Users\dunca\Desktop\embpy\dist\shaders\scene.frag", "GLSL", 0, 20, 0, 0, 0, 7, 27
"c:\Users\dunca\Desktop\embpy\dist\shaders\scene.vert", "GLSL", 0, 19, 0, 0, 0, 3, 22
"c:\Users\dunca\Desktop\embpy\engine.py", "Python", 46, 0, 0, 0, 0, 18, 64
"c:\Users\dunca\Desktop\embpy\geometry.py", "Python", 8, 0, 0, 0, 0, 4, 12
"c:\Users\dunca\Desktop\embpy\gl\ibo.py", "Python", 12, 0, 0, 0, 0, 5, 17
"c:\Users\dunca\Desktop\embpy\gl\pygl.py", "Python", 73, 0, 0, 0, 2, 18, 93
"c:\Users\dunca\Desktop\embpy\gl\shader.py", "Python", 25, 0, 0, 0, 0, 7, 32
"c:\Users\dunca\Desktop\embpy\gl\shader_program.py", "Python", 26, 0, 0, 0, 0, 8, 34
"c:\Users\dunca\Desktop\embpy\gl\texture.py", "Python", 46, 0, 0, 0, 3, 9, 58
"c:\Users\dunca\Desktop\embpy\gl\vao.py", "Python", 24, 0, 0, 0, 2, 7, 33
"c:\Users\dunca\Desktop\embpy\gl\vbo.py", "Python", 23, 0, 0, 0, 1, 7, 31
"c:\Users\dunca\Desktop\embpy\gui.py", "Python", 95, 0, 0, 0, 3, 32, 130
"c:\Users\dunca\Desktop\embpy\imgui.ini", "Ini", 0, 0, 40, 0, 0, 11, 51
"c:\Users\dunca\Desktop\embpy\input.py", "Python", 18, 0, 0, 0, 0, 11, 29
"c:\Users\dunca\Desktop\embpy\interval_timer.py", "Python", 46, 0, 0, 0, 0, 13, 59
"c:\Users\dunca\Desktop\embpy\loaders\obj_loader.py", "Python", 65, 0, 0, 0, 2, 11, 78
"c:\Users\dunca\Desktop\embpy\main.py", "Python", 9, 0, 0, 0, 0, 7, 16
"c:\Users\dunca\Desktop\embpy\material.py", "Python", 18, 0, 0, 0, 0, 8, 26
"c:\Users\dunca\Desktop\embpy\mesh.py", "Python", 16, 0, 0, 0, 2, 7, 25
"c:\Users\dunca\Desktop\embpy\pg.py", "Python", 34, 0, 0, 0, 0, 13, 47
"c:\Users\dunca\Desktop\embpy\primitives.py", "Python", 30, 0, 0, 0, 0, 10, 40
"c:\Users\dunca\Desktop\embpy\scene\scene.py", "Python", 10, 0, 0, 0, 0, 7, 17
"c:\Users\dunca\Desktop\embpy\scene\scene_graph.py", "Python", 10, 0, 0, 0, 0, 7, 17
"c:\Users\dunca\Desktop\embpy\scene\scene_object.py", "Python", 32, 0, 0, 0, 0, 12, 44
"c:\Users\dunca\Desktop\embpy\shaders\scene.frag", "GLSL", 0, 34, 0, 0, 3, 6, 43
"c:\Users\dunca\Desktop\embpy\shaders\scene.vert", "GLSL", 0, 22, 0, 0, 1, 3, 26
"c:\Users\dunca\Desktop\embpy\tests\engine_dev\app_state_dev.py", "Python", 69, 0, 0, 0, 9, 35, 113
"Total", "-", 963, 95, 42, 34046, 32, 6353, 41531
