"filename", "language", "Ini", "GLSL", "Python", "comment", "blank", "total"
"c:\Users\dunca\Desktop\embpy\.flake8", "Ini", 2, 0, 0, 0, 0, 2
"c:\Users\dunca\Desktop\embpy\app_state.py", "Python", 0, 0, 19, 0, 10, 29
"c:\Users\dunca\Desktop\embpy\camera.py", "Python", 0, 0, 72, 1, 13, 86
"c:\Users\dunca\Desktop\embpy\component\component.py", "Python", 0, 0, 15, 0, 8, 23
"c:\Users\dunca\Desktop\embpy\component\model.py", "Python", 0, 0, 53, 2, 14, 69
"c:\Users\dunca\Desktop\embpy\component\transform.py", "Python", 0, 0, 43, 1, 13, 57
"c:\Users\dunca\Desktop\embpy\config.py", "Python", 0, 0, 8, 0, 2, 10
"c:\Users\dunca\Desktop\embpy\console.py", "Python", 0, 0, 18, 0, 6, 24
"c:\Users\dunca\Desktop\embpy\dist\shaders\scene.frag", "GLSL", 0, 20, 0, 0, 7, 27
"c:\Users\dunca\Desktop\embpy\dist\shaders\scene.vert", "GLSL", 0, 19, 0, 0, 3, 22
"c:\Users\dunca\Desktop\embpy\engine.py", "Python", 0, 0, 46, 0, 18, 64
"c:\Users\dunca\Desktop\embpy\geometry.py", "Python", 0, 0, 8, 0, 4, 12
"c:\Users\dunca\Desktop\embpy\gl\ibo.py", "Python", 0, 0, 12, 0, 5, 17
"c:\Users\dunca\Desktop\embpy\gl\pygl.py", "Python", 0, 0, 73, 2, 18, 93
"c:\Users\dunca\Desktop\embpy\gl\shader.py", "Python", 0, 0, 25, 0, 7, 32
"c:\Users\dunca\Desktop\embpy\gl\shader_program.py", "Python", 0, 0, 26, 0, 8, 34
"c:\Users\dunca\Desktop\embpy\gl\texture.py", "Python", 0, 0, 46, 3, 9, 58
"c:\Users\dunca\Desktop\embpy\gl\vao.py", "Python", 0, 0, 24, 2, 7, 33
"c:\Users\dunca\Desktop\embpy\gl\vbo.py", "Python", 0, 0, 23, 1, 7, 31
"c:\Users\dunca\Desktop\embpy\gui.py", "Python", 0, 0, 95, 3, 32, 130
"c:\Users\dunca\Desktop\embpy\imgui.ini", "Ini", 40, 0, 0, 0, 11, 51
"c:\Users\dunca\Desktop\embpy\input.py", "Python", 0, 0, 18, 0, 11, 29
"c:\Users\dunca\Desktop\embpy\interval_timer.py", "Python", 0, 0, 46, 0, 13, 59
"c:\Users\dunca\Desktop\embpy\loaders\obj_loader.py", "Python", 0, 0, 65, 2, 11, 78
"c:\Users\dunca\Desktop\embpy\main.py", "Python", 0, 0, 9, 0, 7, 16
"c:\Users\dunca\Desktop\embpy\material.py", "Python", 0, 0, 18, 0, 8, 26
"c:\Users\dunca\Desktop\embpy\mesh.py", "Python", 0, 0, 16, 2, 7, 25
"c:\Users\dunca\Desktop\embpy\pg.py", "Python", 0, 0, 34, 0, 13, 47
"c:\Users\dunca\Desktop\embpy\primitives.py", "Python", 0, 0, 30, 0, 10, 40
"c:\Users\dunca\Desktop\embpy\scene\scene.py", "Python", 0, 0, 10, 0, 7, 17
"c:\Users\dunca\Desktop\embpy\scene\scene_graph.py", "Python", 0, 0, 10, 0, 7, 17
"c:\Users\dunca\Desktop\embpy\scene\scene_object.py", "Python", 0, 0, 32, 0, 12, 44
"c:\Users\dunca\Desktop\embpy\shaders\scene.frag", "GLSL", 0, 34, 0, 3, 6, 43
"c:\Users\dunca\Desktop\embpy\shaders\scene.vert", "GLSL", 0, 22, 0, 1, 3, 26
"c:\Users\dunca\Desktop\embpy\tests\engine_dev\app_state_dev.py", "Python", 0, 0, 69, 9, 35, 113
"Total", "-", 42, 95, 963, 32, 352, 1484
